title,website
Badda General Hospital Pvt. Ltd.,
AMZ Hospital Ltd.,http://www.amzhospitalbd.com/
Bumrungrad International Hospital Dhaka Bangladesh Office // Support Center in Banani,https://discoverinternationalmedicalservice.com/dhaka-offices
Central Hospital Limited,http://www.centralhospitalltdbd.com/
BIRDEM General Hospital,https://birdembd.org/
Al-Sunnah General Hospital Limited,http://www.alsunnahospital.com/
Bumrungrad Hospital Dhaka Bangladesh - Banani Branch,https://discoverims.com/
Government Employee Hospital,http://www.skh.gov.bd/
MOHAKHALI GENERAL HOSPITAL,http://skgolammostofa.com/
The Barakah General Hospital Limited,http://www.barakahospital.com/
Dr. Sirajul Islam Medical College & Hospital Ltd.,https://www.drsimc.com/
Crescent Gastroliver & General Hospital,http://crescentgastroliver.com/
Abeer General Hospital,
ZAINUL HAQUE SIKDER WOMEN'S MEDICAL COLLEGE & HOSPITAL (PVT.) LTD.,http://www.sikderhospital.net/
H.A.F General Hospital,
Dogma Hospital Ltd.,
Shahabuddin Medical College Hospital,http://www.shahabuddinmedical.org/
Gulshan shasthoseba kendra,
People's Care Hospital & Diagnostic Center,
The S.M.G. Kibria Foundation │Best Hospital & Non-Profit Clinic In Bangladesh,https://smgkibriafoundation.org/
Ibn Sina Diagnostic & Consultation Center (Badda),http://www.ibnsinatrust.com/
BANGLADESH DIABETIC SHOMITY (Gulshan Healthcare Centre),https://www.nhn-dab.org.bd/
ASSURANCE MDT,
Badda General Hospital,
Malancha Medical Services Ltd.,http://malanchamedical.com/
Praram 9 Hospital Referral Office Bangladesh.,
Rahman Medicine House,
(Proposed Location) Green Life College Hospital,
Tulip Medical Center,
Doctors Information,https://www.facebook.com/share/1BmbT7NTRX/
Shastha Sheba Kendra  Badda,https://www.facebook.com/pages/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A7%8D%E0%A6%AF-%E0%A6%B8%E0%A7%87%E0%A6%AC%E0%A6%BE-%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A7%8D%E0%A6%A1%E0%A6%BE/983129448411127?fref=ts&_rdr
MHL AZ Gulshan Shahjadpur,
Sahara Medical Center,http://saharamedicalbd.com/
Bangla Health Connect,https://banglahealthconnect.com/
Gulshan Clinic Limited.,https://gulshanclinicbd.org/
Badda General Hospital,
DevRam nursing home care service limited,
People's Eye Hospital পিপলস চক্ষু হাসপাতাল,
SRS Clinic,
উত্তর বাড্ডা স্বাধীনতা স্মরণী এএমজেড হসপিটাল,
AMZ Hospital Emergency,
Dhaka Islamia Eye Hospital  Badda ঢাকা ইসলামিয়া চক্ষু হাসপাতাল  বাড্ডা,
Urban Health Center,
Popular Diagnostic Centre  Badda Branch,http://www.populardiagnostic.com/
A Emdad Hospital,
BRAC Primary Health CENTER (PHC) BADDA  DHAKA,http://brac.net/
Cafe Shahi Darbar,
Coffee And,
Tea Lover's Cafe,
Crema Cafe,
Road View Cafe Roasters,
Marina Cafe & Restaurant  Gulshan Lake View,
Caffe Ricotta,
The Coffee Bean & Tea Leaf,
2BROS CAFE,
Treehouse Cafe,https://www.facebook.com/TreehouseCafeBD/
NORTH END coffee roasters Shahabuddin Ahmed Park,http://www.northendcoffee.com/
KONA Cafe,
The Coffee Lounge Bangladesh,http://www.thecoffeeloungebd.com/
Biancaffé Gulshan,https://biancaffe-bd.com/
Amz Cafe,
C House Café,
NORTH END coffee roasters Concord Baksh Tower,http://www.northendcoffee.com/
AMZ OPD Consultation,
নিউ পপুলার মেডিকেল সার্ভিসেস,
Sunnah Prescription Point,
Dr. Mustafizur Rahman,
Thyrocare Bangladesh Limited,http://www.thyrocarebd.com/
The Concept Home Health Care agency,
Cotton Group,http://www.cottongroup.com.bd/
AMZ Hospital Cafeteria,
Tuhin Mina Assistant Manager Dogma Hospital Ltd.,
Eye Bank  305 & 306 no word Dhaka Medical College Hospital,
Moon Check-up OPC,
AMZ Hospital Diagonostic Department,
মেডি কোয়েস্ট ডায়াগনস্টিক সেন্টার,
Biswas Veterinary Clinic,https://www.facebook.com/Biswas-Veterinary-Clinic-100428875394141/
Health Care Center,
PCOS Centre Bangladesh,
Shaker Homoeo complex,
Ash Shifa Homoeo Complex,https://www.facebook.com/ashshifa.badda?mibextid=ZbWKwL
Uttar Badda,
Healthcare Information System Ltd.,http://hislbd.com/
ফিজিও হাউজ physio house,
Mediquest Diagnostics,https://mediquestdiagnosticsltd.com/
Serenity,
Kumudini Welfare Trust Office,
Shotota Furniture Mart,https://shototafurnituremart.com/
Hanif mobile hospital হানিফ মোবাইল হসপিটাল,
Unique Mobail Hospital,
PAL Nur Nibash,
Ma Biriyani House,
Takwaya Twin Tower,
Taher genarer Store,
Mobile and Computer hospital,
Modern Dental Center-MDC,http://moderndentalcentermdc.com/
Bhuiyan Pharmacy,
Jamalpur tower,
Emon Pet Gallery,
Barber Boss ( Men's Salon & Spa),
Happiness Cafe,https://www.happiness.cafe/
Bee’s Kitchen,
ইকবাল চা স্টল,
Kashmira Cafe & Restaurant,https://www.kashmiracr.com/
Moveon Coffee Gulshan,
BISMILLAH JUICE CORNER,
XYZ Coffe Shop,
টি ক্যাফে,
Gen-Z Tea & Coffe Bar,
Dhaka. Badda,
Pirojpur telecom and Tea store,
চা এন্ড চিল  শাহজাদপুর,
WOLD TOWN COFFEE HOUSE,
GEN Z IRANI CHAI,https://www.facebook.com/profile.php?id=61570058040025&mibextid=ZbWKwL
দ্যি আপার দোকান,
Raisul's Residence,
Apartment,
Pirojpur telecom & Tea store,
খোরশেদ ভাইয়ের চায়ের দোকান,
সাব্বিরের শ্বশুরের চায়ের দোকান,
লিটন চায়ের দোকান,
Jasim tea Store,
Crave Tea,
Abc,
‌Sohel Tea Stall,
Ideal for short and long time stay  it can be used as a hub for a profetional,
IT Care,http://dev-techbhai.pantheonsite.io/
STATA IT LIMITED,http://www.stataglobal.com/
SIIT Softbit Institute of IT,
One Point IT Solution,
Bit Byte IT  Gulshan,https://www.bitbyteit.com/
Work IT BD,http://workitbd.com/
Taqitizar IT,
It Services Bangladesh Ltd.,
Equal IT,
Imran IT Service,
iT Bazaar,
Suffix IT,https://www.suffixit.com/
Sigma IT Institute,https://sigma.co.bd/
AL FATAH IT,
Wave-Brand IT Services,
IT City BD,https://itcity.com.bd/
Southeast Bank Limited,
Jamuna Bank Limited | Gulshan Link road Branch,
Premier Bank Limited,
Bangladesh Krishi Bank,http://www.krishibank.org.bd/
Premier Bank Limited,
South East Bank ATM Booth,
NCC Bank Limited,http://www.nccbank.com.bd/
ONE Bank Limited,https://www.onebank.com.bd/
Mutual Trust Bank Limited,
City Bank - Progati Sarani Branch,https://www.thecitybank.com/home
Al-Arafah Islami Bank Limited,
Baridhara Branch  Pubali Bank PLC. ,http://www.pubalibangla.com/
Dhaka Bank  Pragati Sarani Branch,
IFIC Bank Limited,http://www.ificbank.com.bd/
FIRST SECURITY ISLAMI BANK LTD.,
Janata Bank Limited,
Social Islami Bank Limited,http://www.siblbd.com/home
Pubali Bank Limited,http://www.pubalibangla.com/
Al Madina Super Shop,
Daily Shopping - Gulshan Lake Drive,https://www.othoba.com/daily-shopping
OCTAVE Guitar Shop BD,https://www.guitaroctave.com/
AtoZ Shop,
A-1 Super Shop,https://cashbackbd.blogspot.com/2021/01/window.html
Nishi & Nazmin Mini Super Shop,https://www.facebook.com/NandN.co/
shopbuzz,
Jabale Noor Shop,http://www.jabalenoorshop.com/
Hill Shop (পাহাড়ি কৃষি দ্রব্যাদির দোকান),
Gomoti Pharmacy And Super Shop,
Bismillah Coffee & Tea Shop,http://www.sfbdonline.net/
Cut Price Shop ( Baby Foods),https://cutpricebd.com/
Malay Shop-Badda,
Big Bazar Shop,
ASR Shop,
Dina's Pastry Shop,
Light Shop BD,
Prime Bank Gulshan Branch,https://www.primebank.com.bd/
Dutch-Bangla Bank Limited Fast Track,
The Premier Bank Ltd,
Union Bank International Division,http://www.unionbank.com.bd/
Bengal Commercial Bank PLC,https://www.bgcb.com.bd/
Meghna bank Cards Division,http://www.meghnabank.com.bd/
BRAC Bank Limited | ATM Booth,http://www.bracbank.com/
Bismillah Family Shop,
Gazi Shop,
Nikhad Shop,https://www.facebook.com/nikhadshop
The Snazzy Collection,
Jibon super shop,
First Lady Shop Online,
iT Zone,
Easy Internet Technology (Easy IT),
Foreign-IT,https://foreignitagency.com/
Blue Band it,http://www.bluebandit.webs.com/
Implode IT Solution,
GENTECH IT BANGLADESH,
EWAAD IT Solutions,https://ewaad.com/
BRAC Bank Limited | ATM Booth,http://www.bracbank.com/
Sonali Bank Limited,
Agrani Bank PLC,https://www.agranibank.org/index.php
EXIM Bank Ltd  Shatarkul Branch,http://www.eximbankbd.com/
Shahjalal Islami Bank Ltd. Pragati Sarani Branch,https://www.sjiblbd.com/
BRAC Bank Ltd  Badda Branch,http://www.bracbank.com/
Social Islami Bank Limited,http://www.siblbd.com/
Dutch-Bangla Bank Limited (DBBL),
Eastern Bank Limited (EBL),http://www.ebl.com.bd/
Dutch Bangla Agent Bank,
Gulshan-2 Branch  Padma Bank Limited,
Eastern Bank Limited (EBL),http://www.ebl.com.bd/
IFIC BANK LIMITED,
Rosa cosmetics shop Gulshan 1,http://rosa.com.bd/
SATTER SHOP,
MAS SHOP BD LTD.,
Live cake & pastry shop,
Shwapno Super Shop (স্বপ্ন),
Zariya Online Shop,
Inifinix Brand Shop Badda Link Road,
Unique Shop and Computer,
New Gift Shop,https://cashbackbd.blogspot.com/2021/01/window.html
AMAZONE BOOK SHOP,
Inifinix Brand Shop,
Amber IT Badda Office,
MiZan Basic IT,https://www.mizanbasicit.com/
IT Bondhu Limited,https://itbondhu.com/
Popular IT company Freelancing Tips,
Sarah IT,
Flexible IT,
TuneUp IT,http://www.tuneupit.com/
Bigbox IT,
Well IT & Consultancy Ltd,https://www.wellit.info/
INNOVIOR IT,http://www.facebook.com/innoviorit/
Greenway I.T. Solutions,https://greenwayserver.com/
Swadesh IT,http://swadeshitbd.com/
It solution bd,
IT Manob Inc.,
IT Village,
A-1 Super Shop,
Mother's Smile Shop,
Aklima.Shop,
Gulshan hardware shop 2025,
Vivo Authorized brand shop Link Road BS,https://www.vivo.com/bd
Lifestyle Online Shop,
Zumma Shop,
NiBO online shop,
SR SHOP Online BD,
MilonMela Book Shop,
Friends And Family Shop,
Asif Mobile Shop,
Exclusive Furniture Shop,
Graph It Training Center,
IT Solution Park - Website Design  Photo Editing  Graphics Designing  Digital Marketing  Apps Development,https://itsolutionpark.com/
EKATTOR iT,https://www.ekattorit.com/
Apprise IT,http://www.apprise.website/
TuneUp IT Studio,http://www.tuneupit.com/
Exprocoder-IT,https://www.exprocoder.com/
Green IT,
Flux IT,http://fluxit.tech/
Consort IT,http://consort-it.com/
SkyLab IT Services,
Xproy IT,https://xproyit.com/
Nozzle It Institute,
Fareast IT Solutions Limited,
Microland IT,
Make IT Possible,
IT Software Firm,
Libras IT Services,
Edu Tech IT Solution,
vivo authorised brand shop (Touch One),http://mygalaxy.fdl.com.bd/
Trust Online Shop,
Bismillah Baby Shop,
Vivo Authorised Brand Shop - M CELL BS,
Smart women's shop,
Itel Brand Shop Badda,
Laptop Ache | Used Laptop Shop in Dhaka  Bangladesh – Best Deals,https://www.laptopache.com/
Romana online shop,
Bata discount shop | বাটা ডিসকাউন্ট শপ,
Wheel Solution | Best tyre  battery  and lubricant oil Shop in Uttar Badda,
The Brand Shop,https://cashbackbd.blogspot.com/2021/01/window.html
Sifat Tire and Battery Shop,
NCP furniture shop,
Asian Sky Shop,
Zakir Tyre & Battery Shop,
G.M Tyre & Battery Shop,
Siddikiya-IT,
Digi IT,
AivTech IT,https://sites.google.com/view/digitalmarketingservice-fiverr/home
Anawara IT,
It Promotion,http://itpromotion.net/
BINARY IT SOLUTION,
Prodigix IT,https://prodigixit.com/
MM IT World,http://www.mmitworld.com/
Dhaka It Solution,http://dhakaitsolution.com/
Exorior Soft.IT,
Misbah IT Ltd.,
IT businees,
Supreme IT Solutions,http://www.supremeitbd.com/
Germinate IT | Website Design & Digital Marketing Agency,https://www.germinateit.com/
HuNg IT Zone,
Redoy IT Solutions,
Code Fusion IT | IT-Firm for Seamless Solutions  Endless Innovation,https://codefusionit.com/
IT BIZ,https://www.itbiiz.com/
Time Square Food Court,
New Kolapata Restaurant,
Open Kitchen,
Food Gallery Restaurant,https://www.facebook.com/dadasduck?mibextid=ZbWKwL
On Fire,https://www.facebook.com/onfiredhaka
Obosor Restaurant / অবসর রেঁস্তোরা,
Chilli Chicken & Juice Bar (চিলি চিকেন এন্ড জুস বার),
ভibe/ Vibe Restaurant,
Soudia hotel and restaurant,
Chilis,
Cafe Azraq,
JUNKET RESTAURANT,
JUNKET RESTAURANT,
Energy Up,
Spicy6,https://m.facebook.com/spicysix/
lucknowi,
Segreto Mohammadpur,
Anurag Restora | Shyamoli,
Grand Prince Thai & Chinese Restaurant,
Nabeez Restaurant & Cafe,
